PassengerId,Survived,Pclass,Name,Age,SibSp,Parch,Ticket,Fare,Sex_male,Embarked_Q,Embarked_S
"43,-0.7892723355548015,0.8273772438659699,""Kraeff, Mr. Theodor"",-0.048732033627216675,-0.5704718797539301,0.0,349253,-0.7467268788832456,True,False,False"
"44,1.266989801811655,-0.3693648410115938,""Laroche, Miss. Simonne Marie Anne Andree"",-2.6028639137360345,1.3476052706640012,0.0,SC/Paris 2123,1.9042818843008664,False,False,False"
"45,1.266989801811655,0.8273772438659699,""Devaney, Miss. Margaret Delia"",-0.9682195104663911,-0.5704718797539301,0.0,330958,-0.7480333605765681,False,True,False"
"46,-0.7892723355548015,0.8273772438659699,""Rogers, Mr. William John"",-0.048732033627216675,-0.5704718797539301,0.0,S.C./A.4. 23567,-0.7345907658043109,True,False,True"
"47,-0.7892723355548015,0.8273772438659699,""Lennon, Mr. Denis"",-0.048732033627216675,1.3476052706640012,0.0,370371,-0.148248078138528,True,True,False"
"48,1.266989801811655,0.8273772438659699,""O'Driscoll, Miss. Bridget"",-0.048732033627216675,-0.5704718797539301,0.0,14311,-0.7582018807438727,False,True,False"
"49,-0.7892723355548015,0.8273772438659699,""Samaan, Mr. Youssef"",-0.048732033627216675,3.2656824210819324,0.0,2662,0.33807792664327163,True,False,False"
"50,-0.7892723355548015,0.8273772438659699,""Arnold-Franchi, Mrs. Josef (Josefine Franchi)"",-1.0703847856707438,1.3476052706640012,0.0,349237,0.03277046973144534,False,False,True"
"51,-0.7892723355548015,0.8273772438659699,""Panula, Master. Juha Niilo"",-2.1942028129186237,-0.5704718797539301,0.0,3101295,1.7553980638636366,True,False,True"
"52,-0.7892723355548015,0.8273772438659699,""Nosworthy, Mr. Richard Cater"",-0.7638889600576857,-0.5704718797539301,0.0,A/4. 39886,-0.7542666949206124,True,False,True"
"53,1.266989801811655,-1.5661069258891576,""Harper, Mrs. Henry Sleeper (Myna Haxtun)"",2.09673874566419,1.3476052706640012,0.0,PC 17572,-0.2305564248178402,False,False,False"
"54,1.266989801811655,-0.3693648410115938,""Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)"",0.05343324157713604,1.3476052706640012,0.0,2926,0.6781409447461326,False,False,True"
"55,-0.7892723355548015,-1.5661069258891576,""Ostby, Mr. Engelhart Cornelius"",-0.048732033627216675,-0.5704718797539301,0.0,113509,3.509837700191064,True,False,False"
"56,1.266989801811655,-1.5661069258891576,""Woolner, Mr. Hugh"",-0.048732033627216675,-0.5704718797539301,0.0,19947,1.4258262511655875,True,False,True"
"57,1.266989801811655,-0.3693648410115938,""Rugg, Miss. Emily"",-0.7638889600576857,-0.5704718797539301,0.0,C.A. 31026,-0.5417666604645569,False,False,True"
"58,-0.7892723355548015,0.8273772438659699,""Novel, Mr. Mansouer"",0.0023506039749596795,-0.5704718797539301,0.0,2697,-0.7991907762789521,True,False,False"
"59,1.266989801811655,-0.3693648410115938,""West, Miss. Constance Mirium"",-2.398533363327329,1.3476052706640012,0.0,C.A. 34651,0.8158724485602428,False,False,True"
"60,-0.7892723355548015,0.8273772438659699,""Goodwin, Master. William Frederick"",-1.7855417121012127,-0.5704718797539301,0.0,CA 2144,2.3230486188689334,True,False,True"
"61,-0.7892723355548015,0.8273772438659699,""Sirayanian, Mr. Orsen"",-0.661723684853333,-0.5704718797539301,0.0,2669,-0.7991907762789521,True,False,False"
"62,1.266989801811655,-1.5661069258891576,""Icard, Miss. Amelie"",0.9729207184163104,-0.5704718797539301,0.0,113572,-0.2305564248178402,False,False,True"
"63,-0.7892723355548015,-1.5661069258891576,""Harris, Mr. Henry Birkhardt"",1.6880776448467794,1.3476052706640012,0.0,36973,-0.2305564248178402,True,False,True"
"64,-0.7892723355548015,0.8273772438659699,""Skoog, Master. Harald"",-2.5006986385316816,-0.5704718797539301,0.0,347088,0.8276780060300235,True,False,True"
"65,-0.7892723355548015,-1.5661069258891576,""Stewart, Mr. Albert A"",-0.048732033627216675,-0.5704718797539301,0.0,PC 17605,0.8135743000394587,True,False,False"
"66,1.266989801811655,0.8273772438659699,""Moubarek, Master. Gerios"",-0.048732033627216675,1.3476052706640012,0.0,2661,-0.16825456286398338,True,False,False"
"67,1.266989801811655,-0.3693648410115938,""Nye, Mrs. (Elizabeth Ramell)"",0.05343324157713604,-0.5704718797539301,0.0,C.A. 29395,-0.5417666604645569,False,False,True"
"68,-0.7892723355548015,0.8273772438659699,""Crease, Mr. Ernest James"",-0.9682195104663911,-0.5704718797539301,0.0,S.P. 3464,-0.7260671533111293,True,False,True"
"69,1.266989801811655,0.8273772438659699,""Andersson, Miss. Erna Alexandra"",-1.1725500608750965,-0.5704718797539301,0.0,3101281,-0.7444287303624617,False,False,True"
"70,-0.7892723355548015,0.8273772438659699,""Kink, Mr. Vincenz"",-0.2530625840359221,3.2656824210819324,0.0,315151,-0.6863847394693725,True,False,True"
"71,-0.7892723355548015,-0.3693648410115938,""Jenkin, Mr. Stephen Curnow"",0.3599290671901942,-0.5704718797539301,0.0,C.A. 33111,-0.5417666604645569,True,False,True"
"72,-0.7892723355548015,0.8273772438659699,""Goodwin, Miss. Lillian Amy"",-1.2747153360794492,-0.5704718797539301,0.0,CA 2144,2.3230486188689334,False,False,True"
"73,-0.7892723355548015,-0.3693648410115938,""Hood, Mr. Ambrose Jr"",-0.7638889600576857,-0.5704718797539301,0.0,S.O.C. 14879,-0.2305564248178402,True,False,True"
"74,-0.7892723355548015,0.8273772438659699,""Chronopoulos, Mr. Apostolos"",-0.2530625840359221,1.3476052706640012,0.0,2680,-0.2305564248178402,True,False,False"
"75,1.266989801811655,0.8273772438659699,""Bing, Mr. Lee"",0.3599290671901942,-0.5704718797539301,0.0,1601,3.0782737413257553,True,False,True"
"76,-0.7892723355548015,0.8273772438659699,""Moen, Mr. Sigurd Hansen"",-0.35522785924027483,-0.5704718797539301,0.0,348123,-0.7660722523903933,True,False,True"
"77,-0.7892723355548015,0.8273772438659699,""Staneff, Mr. Ivan"",-0.048732033627216675,-0.5704718797539301,0.0,349208,-0.7467268788832456,True,False,True"
"78,-0.7892723355548015,0.8273772438659699,""Moutal, Mr. Rahamin Haim"",-0.048732033627216675,-0.5704718797539301,0.0,374746,-0.7345907658043109,True,False,True"
"79,1.266989801811655,-0.3693648410115938,""Caldwell, Master. Alden Gates"",-0.048732033627216675,-0.5704718797539301,0.0,248738,0.91425209414175,True,False,True"
"80,1.266989801811655,0.8273772438659699,""Dowdell, Miss. Elizabeth"",0.15559851678148875,-0.5704718797539301,0.0,364516,-0.3863268204457755,False,False,True"
"81,-0.7892723355548015,0.8273772438659699,""Waelens, Mr. Achille"",-0.661723684853333,-0.5704718797539301,0.0,345767,-0.6598222351623655,True,False,True"
"82,1.266989801811655,0.8273772438659699,""Sheerlinck, Mr. Jan Baptist"",0.05343324157713604,-0.5704718797539301,0.0,345779,-0.6204703769297627,True,False,True"
"83,1.266989801811655,0.8273772438659699,""McDermott, Miss. Brigdet Delia"",-0.048732033627216675,-0.5704718797539301,0.0,330932,-0.7552504913764275,False,True,False"
"84,-0.7892723355548015,-1.5661069258891576,""Carrau, Mr. Francisco M"",-0.048732033627216675,-0.5704718797539301,0.0,113059,2.3387893621619744,True,False,True"
"85,1.266989801811655,-0.3693648410115938,""Ilett, Miss. Bertha"",-1.1725500608750965,-0.5704718797539301,0.0,SO/C 14885,-0.5417666604645569,False,False,True"
"86,1.266989801811655,0.8273772438659699,""Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)"",0.4620943423945469,-0.5704718797539301,0.0,3101278,-0.120701777375706,False,False,True"
"87,-0.7892723355548015,0.8273772438659699,""Ford, Mr. William Neal"",-1.2747153360794492,1.3476052706640012,0.0,W./C. 6608,1.3372845701422311,True,False,True"
"88,-0.7892723355548015,0.8273772438659699,""Slocovski, Mr. Selman Francis"",-0.048732033627216675,-0.5704718797539301,0.0,SOTON/OQ 392086,-0.7345907658043109,True,False,True"
"89,1.266989801811655,-1.5661069258891576,""Fortune, Miss. Mabel Helen"",-0.5595584096489803,-0.5704718797539301,0.0,19950,-0.2305564248178402,False,False,True"
"90,-0.7892723355548015,0.8273772438659699,""Celotti, Mr. Francesco"",-0.45739313444462754,-0.5704718797539301,0.0,343275,-0.7345907658043109,True,False,True"
"91,-0.7892723355548015,0.8273772438659699,""Christmann, Mr. Emil"",0.05343324157713604,-0.5704718797539301,0.0,343276,-0.7345907658043109,True,False,True"
"92,-0.7892723355548015,0.8273772438659699,""Andreasson, Mr. Paul Edvin"",-0.8660542352620384,-0.5704718797539301,0.0,347466,-0.7500009534881984,True,False,True"
"93,-0.7892723355548015,-1.5661069258891576,""Chaffee, Mr. Herbert Fuller"",1.7902429200511323,1.3476052706640012,0.0,W.E.P. 5734,3.446544171409746,True,False,True"
"94,-0.7892723355548015,0.8273772438659699,""Dean, Mr. Bertram Frank"",-0.2530625840359221,1.3476052706640012,0.0,C.A. 2315,0.25117328292239127,True,False,True"
"95,-0.7892723355548015,0.8273772438659699,""Coxon, Mr. Daniel"",-0.048732033627216675,-0.5704718797539301,0.0,364500,-0.7975537389764756,True,False,True"
"96,-0.7892723355548015,0.8273772438659699,""Shorney, Mr. Charles Joseph"",-0.048732033627216675,-0.5704718797539301,0.0,374910,-0.7345907658043109,True,False,True"
"97,-0.7892723355548015,-1.5661069258891576,""Goldschmidt, Mr. George B"",-0.048732033627216675,-0.5704718797539301,0.0,PC 17754,1.3592586477793167,True,False,False"
"98,1.266989801811655,-1.5661069258891576,""Greenfield, Mr. William Bertram"",-0.5595584096489803,-0.5704718797539301,0.0,PC 17759,3.61837799556823,True,False,False"
"99,1.266989801811655,-0.3693648410115938,""Doling, Mrs. John T (Ada Julia Bone)"",0.5642596175988996,-0.5704718797539301,0.0,231919,0.44202979535051534,False,False,True"
"100,-0.7892723355548015,-0.3693648410115938,""Kantor, Mr. Sinai"",0.5642596175988996,1.3476052706640012,0.0,244367,0.6781409447461326,True,False,True"
"101,-0.7892723355548015,0.8273772438659699,""Petranec, Miss. Matilda"",-0.048732033627216675,-0.5704718797539301,0.0,349245,-0.7467268788832456,False,False,True"
"102,-0.7892723355548015,0.8273772438659699,""Petroff, Mr. Pastcho (""""Pentcho"""")"",-0.048732033627216675,-0.5704718797539301,0.0,349215,-0.7467268788832456,True,False,True"
"103,-0.7892723355548015,-1.5661069258891576,""White, Mr. Richard Frasar"",-0.7638889600576857,-0.5704718797539301,0.0,35281,-0.2305564248178402,True,False,True"
"104,-0.7892723355548015,0.8273772438659699,""Johansson, Mr. Gustaf Joel"",0.4620943423945469,-0.5704718797539301,0.0,7540,-0.6870379803160337,True,False,True"
"105,-0.7892723355548015,0.8273772438659699,""Gustafsson, Mr. Anders Vilhelm"",0.8707554432119577,3.2656824210819324,0.0,3101276,-0.7444287303624617,True,False,True"
"106,-0.7892723355548015,0.8273772438659699,""Mionoff, Mr. Stoytcho"",-0.048732033627216675,-0.5704718797539301,0.0,349207,-0.7467268788832456,True,False,True"
"107,1.266989801811655,0.8273772438659699,""Salkjelsvik, Miss. Anna Kristine"",-0.7638889600576857,-0.5704718797539301,0.0,343120,-0.7660722523903933,False,False,True"
"108,1.266989801811655,0.8273772438659699,""Moss, Mr. Albert Johan"",-0.048732033627216675,-0.5704718797539301,0.0,312991,-0.7562342878322426,True,False,True"
"109,-0.7892723355548015,0.8273772438659699,""Rekic, Mr. Tido"",0.9729207184163104,-0.5704718797539301,0.0,349249,-0.7467268788832456,True,False,True"
"110,1.266989801811655,0.8273772438659699,""Moran, Miss. Bertha"",-0.048732033627216675,1.3476052706640012,0.0,371110,0.5325390692855019,False,True,False"
"111,-0.7892723355548015,-1.5661069258891576,""Porter, Mr. Walter Chamberlain"",1.892408195255485,-0.5704718797539301,0.0,110465,2.724437572841483,True,False,True"
"112,-0.7892723355548015,0.8273772438659699,""Zabour, Miss. Hileni"",-1.4279632488859784,1.3476052706640012,0.0,2665,-0.2305564248178402,False,False,False"
"113,-0.7892723355548015,0.8273772438659699,""Barton, Mr. David John"",-0.661723684853333,-0.5704718797539301,0.0,324669,-0.7345907658043109,True,False,True"
"114,-0.7892723355548015,0.8273772438659699,""Jussila, Miss. Katriina"",-0.8660542352620384,1.3476052706640012,0.0,4136,-0.5948916690785708,False,False,True"
"115,-0.7892723355548015,0.8273772438659699,""Attalah, Miss. Malake"",-1.1725500608750965,-0.5704718797539301,0.0,2627,-0.23023373958033289,False,False,False"
"116,-0.7892723355548015,0.8273772438659699,""Pekoniemi, Mr. Edvard"",-0.7638889600576857,-0.5704718797539301,0.0,STON/O 2. 3101294,-0.7444287303624617,True,False,True"
"117,-0.7892723355548015,0.8273772438659699,""Connors, Mr. Patrick"",-0.048732033627216675,-0.5704718797539301,0.0,370369,-0.7582018807438727,True,True,False"
"118,-0.7892723355548015,-0.3693648410115938,""Turpin, Mr. William John Robert"",0.05343324157713604,1.3476052706640012,0.0,11668,0.28462236242010375,True,False,True"
"119,-0.7892723355548015,-1.5661069258891576,""Baxter, Mr. Quigg Edmond"",-0.45739313444462754,-0.5704718797539301,0.0,PC 17558,-0.2305564248178402,True,False,False"
"120,-0.7892723355548015,0.8273772438659699,""Andersson, Miss. Ellis Anna Maria"",-0.048732033627216675,-0.5704718797539301,0.0,347082,1.093303049100093,False,False,True"
"121,-0.7892723355548015,-0.3693648410115938,""Hickman, Mr. Stanley George"",-0.7638889600576857,3.2656824210819324,0.0,S.O.C. 14879,-0.2305564248178402,True,False,True"
"122,-0.7892723355548015,0.8273772438659699,""Moore, Mr. Leonard Charles"",-0.048732033627216675,-0.5704718797539301,0.0,A4. 54510,-0.7345907658043109,True,False,True"
"123,-0.7892723355548015,-0.3693648410115938,""Nasser, Mr. Nicholas"",0.41101170479237054,1.3476052706640012,0.0,237736,0.9985280337326922,True,False,False"
"124,1.266989801811655,-0.3693648410115938,""Webber, Miss. Susan"",0.41101170479237054,-0.5704718797539301,0.0,27267,-0.34500736930154247,False,False,True"
"125,-0.7892723355548015,-1.5661069258891576,""White, Mr. Percival Wayland"",2.607565121685954,-0.5704718797539301,0.0,35281,-0.2305564248178402,True,False,True"
"126,1.266989801811655,0.8273772438659699,""Nicola-Yarred, Master. Elias"",-1.68337643689686,1.3476052706640012,0.0,2651,-0.4833921139623138,True,False,False"
"127,-0.7892723355548015,0.8273772438659699,""McMahon, Mr. Martin"",-0.048732033627216675,-0.5704718797539301,0.0,370372,-0.7582018807438727,True,True,False"
"128,1.266989801811655,0.8273772438659699,""Madsen, Mr. Fridtjof Arne"",-0.45739313444462754,-0.5704718797539301,0.0,C 17369,-0.8060773514696574,True,False,True"
"129,1.266989801811655,0.8273772438659699,""Peter, Miss. Anna"",-0.048732033627216675,1.3476052706640012,0.0,2668,0.3915256204947928,False,False,False"
"130,-0.7892723355548015,0.8273772438659699,""Ekstrom, Mr. Johan"",1.6880776448467794,-0.5704718797539301,0.0,347061,-0.8191972610044073,True,False,True"
"131,-0.7892723355548015,0.8273772438659699,""Drazenoic, Mr. Jozef"",0.4620943423945469,-0.5704718797539301,0.0,349241,-0.7467268788832456,True,False,False"
"132,-0.7892723355548015,0.8273772438659699,""Coelho, Mr. Domingos Fernandeo"",-0.8660542352620384,-0.5704718797539301,0.0,SOTON/O.Q. 3101307,-0.8132944822695167,True,False,True"
"133,-0.7892723355548015,0.8273772438659699,""Robins, Mrs. Alexander A (Grace Charity Laury)"",1.892408195255485,1.3476052706640012,0.0,A/5. 3337,-0.22695179460373377,False,False,True"
"134,1.266989801811655,-0.3693648410115938,""Weisz, Mrs. Leopold (Mathilde Francoise Pede)"",0.05343324157713604,1.3476052706640012,0.0,228414,0.6781409447461326,False,False,True"
"135,-0.7892723355548015,-0.3693648410115938,""Sobey, Mr. Samuel James Hayden"",-0.35522785924027483,-0.5704718797539301,0.0,C.A. 29178,-0.34500736930154247,True,False,True"
"136,-0.7892723355548015,-0.3693648410115938,""Richard, Mr. Emile"",-0.5595584096489803,-0.5704718797539301,0.0,SC/PARIS 2133,-0.18399530615702447,True,False,False"
"137,1.266989801811655,-1.5661069258891576,""Newsom, Miss. Helen Monypeny"",-0.9682195104663911,-0.5704718797539301,0.0,11752,0.7004377076207254,False,False,True"
"138,-0.7892723355548015,-1.5661069258891576,""Futrelle, Mr. Jacques Heath"",0.8707554432119577,1.3476052706640012,0.0,113803,2.811011660953209,True,False,True"
"139,-0.7892723355548015,0.8273772438659699,""Osen, Mr. Olaf Elon"",-1.2747153360794492,-0.5704718797539301,0.0,7534,-0.6427671398043555,True,False,True"
"140,-0.7892723355548015,-1.5661069258891576,""Giglio, Mr. Victor"",-0.45739313444462754,-0.5704718797539301,0.0,PC 17593,-0.2305564248178402,True,False,False"
"141,-0.7892723355548015,0.8273772438659699,""Boulos, Mrs. Joseph (Sultana)"",-0.048732033627216675,-0.5704718797539301,0.0,2678,-0.16825456286398338,False,False,False"
"142,1.266989801811655,0.8273772438659699,""Nysten, Miss. Anna Sofia"",-0.661723684853333,-0.5704718797539301,0.0,347081,-0.7582018807438727,False,False,True"
"143,1.266989801811655,0.8273772438659699,""Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)"",-0.45739313444462754,1.3476052706640012,0.0,STON/O2. 3101279,-0.120701777375706,False,False,True"
"144,-0.7892723355548015,0.8273772438659699,""Burke, Mr. Jeremiah"",-0.9682195104663911,-0.5704718797539301,0.0,365222,-0.8369055972090785,True,True,False"
"145,-0.7892723355548015,-0.3693648410115938,""Andrew, Mr. Edgardo Samuel"",-1.0703847856707438,-0.5704718797539301,0.0,231945,-0.4630629439993511,True,False,True"
"146,-0.7892723355548015,-0.3693648410115938,""Nicholls, Mr. Joseph Charles"",-0.9682195104663911,1.3476052706640012,0.0,C.A. 33112,1.5242058967470948,True,False,True"
"147,1.266989801811655,0.8273772438659699,""Andersson, Mr. August Edvard (""""Wennerstrom"""")"",-0.1508973088315694,-0.5704718797539301,0.0,350043,-0.7545972505297663,True,False,True"
"148,-0.7892723355548015,0.8273772438659699,""Ford, Miss. Robina Maggie """"Ruby"""""",-1.9898722625099183,3.2656824210819324,0.0,W./C. 6608,1.3372845701422311,False,False,True"
"149,-0.7892723355548015,-0.3693648410115938,""Navratil, Mr. Michel (""""Louis M Hoffman"""")"",0.8196728056097814,-0.5704718797539301,0.0,230080,0.6781409447461326,True,False,True"
"150,-0.7892723355548015,-0.3693648410115938,""Byles, Rev. Thomas Roussel Davids"",1.3815818192337213,-0.5704718797539301,0.0,244310,-0.34500736930154247,True,False,True"
"151,-0.7892723355548015,-0.3693648410115938,""Bateman, Rev. Robert James"",2.3010692960728956,-0.5704718797539301,0.0,S.O.P. 1166,-0.38239163462251513,True,False,True"
"152,1.266989801811655,-1.5661069258891576,""Pears, Mrs. Thomas (Edith Wearne)"",-0.661723684853333,1.3476052706640012,0.0,113776,-0.2305564248178402,False,False,True"
"153,-0.7892723355548015,0.8273772438659699,""Meo, Mr. Alfonzo"",-0.048732033627216675,-0.5704718797539301,0.0,A.5. 11206,-0.7345907658043109,True,False,True"
"154,-0.7892723355548015,0.8273772438659699,""van Billiard, Mr. Austin Blyler"",1.2283339064271923,-0.5704718797539301,0.0,A/5. 851,-0.22695179460373377,True,False,True"
"155,-0.7892723355548015,0.8273772438659699,""Olsen, Mr. Ole Martin"",-0.048732033627216675,-0.5704718797539301,0.0,Fa 265302,-0.7926347566974002,True,False,True"
"156,-0.7892723355548015,-1.5661069258891576,""Williams, Mr. Charles Duane"",2.3010692960728956,-0.5704718797539301,0.0,PC 17597,3.462615470311941,True,False,False"
"157,1.266989801811655,0.8273772438659699,""Gilnagh, Miss. Katherine """"Katie"""""",-1.2747153360794492,-0.5704718797539301,0.0,35851,-0.7595162328088417,False,True,False"
"158,-0.7892723355548015,0.8273772438659699,""Corn, Mr. Harry"",0.15559851678148875,-0.5704718797539301,0.0,SOTON/OQ 392090,-0.7345907658043109,True,False,True"
"159,-0.7892723355548015,0.8273772438659699,""Smiljanic, Mr. Mile"",-0.048732033627216675,-0.5704718797539301,0.0,315037,-0.6863847394693725,True,False,True"
"160,-0.7892723355548015,0.8273772438659699,""Sage, Master. Thomas Henry"",-0.048732033627216675,-0.5704718797539301,0.0,CA. 2343,-0.2305564248178402,True,False,True"
"161,-0.7892723355548015,0.8273772438659699,""Cribb, Mr. John Hatfield"",1.5859123696424267,-0.5704718797539301,0.0,371362,-0.10102584825940442,True,False,True"
